Book Name;Quote
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);should also note that Graham emphasizes a large margin of safety. The strategy is not to buy a dollar of value for 97 cents. Rather, the gap should be dramatic so as to absorb the effects of miscalculation and worse-than-average luck. As Buffett
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Also, one significant personal benefit of value investing is peace of mind. Many investors tough it out in the markets for years, living a life filled with anxiety and stress. They constantly fear that their investments will disappear overnight. On the other hand, great value investors, like Buffett and Munger, sleep like a baby—provided they follow simple timeless principles.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Buffett noted that this illustrates why he pays so little attention to macroeconomic factors. Owning the right business is the key.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);When the lemmings are running, Buffett notes that more money can be made in the market than in buying whole companies. However, such times are rare.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);It is far more fruitful to decide whether a product can sustain itself than make economic predictions.(30)
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);On the Ideal Business Buffett: “Something that costs a penny, sells for a dollar and is habit forming.”
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);True to Graham’s principles, Buffett said he pays no attention to economic outlooks. His decisions are based simply on intrinsic business values.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Crescimento nem sempre eh bom de uma perspectiva de investidor
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);If a company earns very high returns year after year, he explained, then, ultimately, those will be the shareholders’ returns as well.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);“Anything that can’t go on forever will end.”  Buffett added, “That’s about as sophisticated as we get.”
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Pensamento do vovo sobre industria alimenticia ser a prova de crises
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);I should also note that Graham emphasizes a large margin of safety. The strategy is not to buy a dollar of value for 97 cents. Rather, the gap should be dramatic so as to absorb the effects of miscalculation and worse-than-average luck. As Buffett puts it, “When you build a bridge, you insist it can carry 30,000 pounds, but you only drive 10,000-pound trucks across it.”
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);fear and greed, will forever occur in the investment community. The timing of these epidemics will be unpredictable. And the market aberrations produced by them will be equally unpredictable, both as to duration and degree. Therefore, we never try to anticipate the arrival or departure of either disease. Our goal is more modest: we simply attempt to be fearful when others are greedy and to be greedy only when others are fearful.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);occasional outbreaks of those two super-contagious diseases, fear and greed, will forever occur in the investment community. The timing of these epidemics will be unpredictable. And the market aberrations produced by them will be equally unpredictable, both as to duration and degree. Therefore, we never try to anticipate the arrival or departure of either disease. Our goal is more modest: we simply attempt to be fearful when others are greedy and to be greedy only when others are fearful. As this is written, little fear is visible in Wall Street. Instead, euphoria prevails – and why not? What could be more exhilarating than to participate in a bull market in which the rewards to owners of businesses become gloriously uncoupled from the plodding performances of the businesses themselves. Unfortunately, however, stocks can’t outperform businesses indefinitely.”
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);As it turned out, this textile company was an ideal vehicle for making investments. With Berkshire Hathaway’s stock, Buffett had a publicly traded corporation with captive capital. The benefits of this corporate structure for managing money are significant.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);Buffett noted that many investors illogically become euphoric when stock prices rise and are downcast when they fall. This makes no more sense than if you bought some hamburger one day, returned the next day to buy more but at a higher price, and then felt euphoric because you had bought some cheaper the day before. If you are going to be a lifelong buyer of food, you welcome falling prices and deplore price increases. So should it be with investments.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);By selling, Buffett is not predicting a decline, though that will surely come someday. He is simply acting on his observation that the intrinsic business values of his holdings are fully reflected in current market prices.
University of Berkshire Hathaway: 30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting (Pecaut, Daniel);The Inefficient Theory: Where’s an Orangutan When You Need One? Buffett and Munger have made a hobby out of tweaking the nose of academia and its pet investment theory, the efficient market theory. The theory holds that since markets are totally efficient, it does no good to think about businesses.(28)  Three professors won the Nobel Prize last year for additions to the theory.  Munger calls it a grand structure built on a false premise and bluntly concludes, “A well-educated orangutan could see the success of our approach, and yet no one is doing it.”
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;An important part of the creative process is recognizing what currently exists. We do have many problems. They do need attention. But problem solving is an unsound and inadequate way of creating the civilization we want, and most often it hardly changes the difficulties that do exist. At best, problem solving can bring temporary relief from a specific situation, but it seldom leads to final success.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When you are solving a problem, you are taking action to have something go away: the problem. When you are creating, you are taking action to have something come into being: the creation. Notice that the intentions of these actions are opposite.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Creating is a matter of invention rather than of convention. Education emphasizes convention, so you may have had little experience with inventing. Inventing is another skill that can be developed.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Mr. Poto knew something about assimilation I was only beginning to learn: One powerful way to assimilate your present step is to move on to your next step, even if you feel inadequately prepared for it. When you move to your next step, you are somehow able to incorporate more than you now know about your present step.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The art of creating is often found in your ability to adjust or correct what you have done so far. Many people have been encouraged to “get it right the first time” or, even worse, to “be perfect.” This policy can lead to profound inexperience in the adjustment process. Instead of making the most of what you have done so far, in order to bring your creation into existence, you may be tempted to give up anytime the circumstances seem against you.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Problem solving can be very distracting while at the same time giving you the illusion that you are doing something important and needed.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The greatest leaders and statesmen in history have not been problem solvers. They have been builders. They have been creators. Even in times of great conflict, such as war and depression, they have taken action to bring into being the society they envisioned.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;But the strategy of avoiding trouble is taught and reinforced until it can become an automatic lifetime habit. Your tendency toward avoidance can live long after you know how to cross the street or light a match.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Perhaps you are an alcoholic because you were weaned
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Knowing what you want is itself a skill. Our traditional educational system does not encourage you to know what you want. Instead you are encouraged to choose the “correct” response from narrow choices that life seems to offer. Frequently this has little relationship to what you really want. Because of this, many people develop an ambivalence toward what they want. And why not? It is hard to be enthusiastic about the choices most people are left with. But as you develop your own creative process, conceiving of the results you want will become meaningful and interesting.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;At meetings some people publicly criticize themselves as a preemptive strike to prevent being criticized by anyone else.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;A final result is something that exists by itself. Its purpose is not to lead you to other results, even though it may.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Creators understand that their emotions are not necessarily a sign of the circumstances. They understand that in desperate circumstances they may experience joy, and in jubilant circumstances they may feel regret. They have the wisdom to understand that their feelings change from good to bad and back to good. They know that any emotion will change. But because emotions are not the centerpiece of their lives, they do not pander to them.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;People often translate what they want into what they think they need. Partly this translation is designed to justify what they want. If they can make their desires seem like needs, they believe they have “no choice” except to work to fulfill them.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Given the various ways in which the concept might manifest itself, how do you want to see it manifested? The same principle of the conceptual stage applies to the vision stage. The vision need only be clear enough that you would recognize it if you created it. But what is the essential difference between conception and vision? The difference is in focus, and focus is made possible by limitation. When you focus a concept into a vision, you are limiting many ways into a single way. All vision is concept, but not all concepts are vision.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;In the reactive-responsive orientation, there are certain internal circumstances, such as fear, anger, illness, or parts of the personality, that people treat just as if they were external circumstances. That is, people react or respond to these internal circumstances as if they were beyond their reach or control.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Assimilation may yield exponential growth: assimilating one thing makes it easier to assimilate more and more things. In fact, in the orientation of the creative, once you have assimilated your own creative process, your life mastery in general increases, so that you are enabled more naturally and easily to create what most matters to you.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;But creators not only can imagine or envision, they also have the ability to bring what they imagine into reality. Once a creation exists, an evolutionary process can take place. Each past creation builds a foundation for the next creation.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Tension strives for resolution. The structural tendency of a stretched rubber band is to relax, or resolve the tension. You, as a creator, establish tension, use tension, play with tension, orchestrate tension, and resolve tension in the direction you choose. The way you form structural tension is by first conceiving of a result you want to create and then by observing the relevant current state of the reality you have in relation to that result.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Movement leads to more movement. Even if you are moving in the wrong direction, it will be easier to change course and move toward your final result than not to move at all.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Second, in the orientation of the creative, it is essential to report to yourself what reality truly is, no matter what the conditions and circumstances may be.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;“nice,” responsive people build up resentment over time because of their chronic position of powerlessness. When they amass enough resentment, they turn into difficult, reactive people. But because that change does nothing to enhance their power and, in fact, feels disorienting, they soon return to being nice, responsive people.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The way you activate the seeds of your creation is by making choices about results you want to create.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;As Wright stayed focused on the results he wanted to create, the “how” of obtaining those results developed organically. He did not limit his concept or his process to standard procedures. Because he knew the result he wanted, he could invent processes that were uncommon and different from those of his contemporaries.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Problem solving provides an almost automatic way of organizing your focus, actions, time, and thought process. In a sense, when you have a nice juicy problem to work on, you do not have to think. You can obsess instead. You can dwell on what is wrong. You can go over it in your mind. You can worry and fret. You have something to talk about to your colleagues and friends. It can seem as if you have no choice except to cower in the face of adversity.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When needs become your nomenclature, you can never be sure which desires are authentic and which are not. If you make it seem as if you “need” what you want, how could you know what you love enough to bring into existence?
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;If you ask the question, “How do I get what I want?” before you ask, “What result do I want to create?” you are limited to results that are directly related to what you already know how to do or can conceive of doing.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;What is the final result you want? This way of thinking helps you conceive the result you want to create independently from how you will create it. This is probably the opposite of what you learned in school.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Primary choince ==> Leads to a result by itself. Not part of a process
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Given the fundamental unresolvability of structural conflict, people often gravitate toward taking less and less action in favor of what they actually want.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;It is easy to live in the realm of the creative, but it is so unusual that many people find it hard to leave their past learnings behind. The shift can be aided by experiences of the creative process, but it is not a gradual manifestation. When you are in the reactive-responsive orientation, it seems difficult to make this shift, but when you are in the orientation of the creative, it is clear and obvious.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;But I also found there some principles which, when applied, release the human spirit in powerful ways. One of the fundamental principles is the relationship between your direct actions and circumstances.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;There is a profound difference between problem solving and creating. Problem solving is taking action to have something go away—the problem. Creating is taking action to have something come into being—the creation. Most of us have been raised in a tradition of problem solving and have had little real exposure to the creative process.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;If you try to change your behavior without first changing the underlying structure causing that behavior, you will not succeed.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;We all recognize the major structural principle that governs the laws of movement in nature, yet only a few apply it consciously. This principle is that energy always moves along the path of least resistance and that any change you attempt to make in your life will not work if the path of least resistance does not lead in that direction. Throughout this book you will learn to form new structures in your life that will enable you to direct the path of least resistance to where you truly want to go. Part One
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Practice asking yourself this question in many types of situations. Do not save it only for those times of great importance. If you are in the habit of working with this question, you will develop an instinct for knowing what you want. Even if you have been indecisive in the past, you will become decisive by building up experience over time.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;In the reactive-responsive orientation, a conflict of this kind is usually experienced as an unresolvable dilemma. The two alternatives are seen as being of equal value and importance. In choosing one or the other, reactive-responsive people always experience loss and a degree of powerlessness. In their view, circumstances are forcing them to give up something they want. In the orientation of the creative, you as creator determine the hierarchy of importance among results. Then you choose what is primary. This enables you always to be in the powerful position of inventing along the way the course of action that most effectively supports the result you value more (your primary choice). Instead of experiencing a sense of loss and powerlessness about the things you want but can’t have, you are always choosing the things you want most. The things you want less become subordinate to your more important wants.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;There seems to be no relationship between the final worth of a result and the experiences the creator has while in the process
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The great irony is that each one of these groups, by using conflict manipulation, promotes a vision that is, in most cases, the opposite of what they really want to see created on the planet. One tragedy of our times is that well-meaning people often lend enormous amounts of energy to visions they really do not want to see happen.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;propaganda. You may be late for an appointment and on your way over think up the most plausible excuse. By the time you arrive, not only are you ready to recite it, but you almost believe it yourself. Avoiding describing reality accurately is often a strategy to overcome the negative consequences of your actions.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;the underlying structure causing that behavior, you will not succeed.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The reactive-responsive orientation contains the basic presumption that you are powerless.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Creating is a matter of invention rather than of convention.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;In the beginning of the creative process, you know only what seems probable. You do not know what may or may not be possible. The likelihood of creating a certain result may seem probable, and yet you may not be able to create it. It may seem impossible to create a particular result, and yet you may be able to create it. The only time you know for sure whether creating a result is possible or not is when you have done it. All other thoughts on the matter are simply speculation.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When you are confused, it is usually not about where you want to go but how to get there. If you try to find a way to get there before you know where you want to go, naturally you can expect confusion to accompany your quest.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Premature focus on the process will limit and inhibit your effectiveness.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Not describing reality accurately often becomes self-propaganda. You may be late for an appointment and on your way over think up the most plausible excuse. By the time you arrive, not only are you ready to recite it, but you almost believe it yourself. Avoiding describing reality accurately is often a strategy to overcome the negative consequences of your actions.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When one has had such limited experience in making choices, desired results will always give way to immediate demands. It is easier to watch television than to do homework.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Learn to form pictures of what you want. This may take practice. As you experiment with picture forming, you will be able to clarify what the result you want will be.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;As a way of life, not much can come out of problem solving.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When I conceive of a result I want to create, I always begin as if nothing existed before. I do not consider the past at all. I focus on what I want to see exist. I start from nothing.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When you make a formal choice, you activate the seeds of germination. You align all the energies at your disposal and set them in motion toward your choice.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;effectiveness. When I conceive of a result I want to create, I always begin as if nothing existed before. I do not consider the past at all. I focus on what I want to see exist. I start from nothing.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;If you do not express your own original ideas, if you do not listen to your own being, you will have betrayed yourself.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;People commonly believe that if they change their behavior, they can change the structures in their lives. In fact, just the opposite is true.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;In the reactive-responsive orientation, a conflict of this kind is usually experienced as an unresolvable dilemma. The two alternatives are seen as being of equal value and importance. In choosing one or the other, reactive-responsive people always experience loss and a degree of powerlessness. In their view, circumstances are forcing them to give up something they want.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The creative process is a matter of invention, not mindless convention. “The human tendency toward the fossilizing of form is shocking, even tragic,” wrote painter Wassily Kandinsky in a letter to composer Arnold Schoenberg. “Yesterday the man who exhibited a new form was condemned. Today the same form has become immovable law for all time. This is tragic because it shows over and over again that human beings depend mostly on externals.”
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;At meetings some people publicly criticize themselves as a preemptive strike to prevent being criticized by anyone else. Some act insecure and irresponsible in a preemptive strike to prevent having demands placed upon them. Some people act arrogant and unfriendly as a preemptive strike to prevent closeness and intimacy. Some get upset and hurt easily as a preemptive strike to prevent being confronted by anyone. Some put themselves in situations in which they appear to be victimized as a preemptive strike to prevent being taken advantage of. Some people dedicate their time and energy to selfless deeds as a preemptive strike to avoid considering their real doubts of self-worth. A subtle preemptive strike may turn out to be a lifelong strategy. You may have learned, early on, the kinds of situations that could be threatening to you and gradually developed strategies to prevent them from recurring in your life.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The process should always serve the result.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;We all recognize the major structural principle that governs the laws of movement in nature, yet only a few apply it consciously. This principle is that energy always moves along the path of least resistance and that any change you attempt to make in your life will not work if the path of least resistance does not lead in that direction
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The structures that have the most influence on your life are composed of your desires, beliefs, assumptions, aspirations, and objective reality itself.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;doing what you do out of love of the thing being done. Most people do not spend their lives doing what they love. To them, doing what they love is a luxury, not a usual way of life. And often they confuse distraction with love. Hobbies, entertainment, and vacations can be such distractions. Yes, you can love your hobby, but is your hobby your life’s work or just a respite from what you do not like?
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;If you limit your choices only to what seems possible or reasonable, as George did, you disconnect yourself from what you truly want, and all you have left is a compromise. George never had the same enthusiasm for pharmacy as he had for medicine. Why? Because the human spirit will not invest itself in a compromise.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;As you practice making choices, you begin to develop an instinct for making the right choices, the ones that lead to the most successful realization of what you want to create. Who do you think has the higher probability of success, the person who has avoided making choices or the person who has made tens of thousands of choices and who has had a chance to learn the feel of right and wrong choices?
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Se eu for continuar em algo que nao esta certo é melhor mudar meu mindset pois caso contrario vou ter os meesmos resultaados 
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;so heavily on rationale and justification, to simply say “I made
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When you separate yourself from your creations, you can experience one of the most profound understandings of creativity—love. The reason you would create anything is because you love it enough to see it exist. This is not as corny as it may seem, because this love is real. It is not manufactured in some workshop in which you are told to “love what you do, unconditionally!” Why would you create anything you did not love enough to see exist?
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;There is tremendous power in knowing what results you designate as primary. Once you make primary choices to create those results, you may effectively and naturally rearrange and reorganize your life in ways that help bring those primary choices into reality. When you formally make a primary choice, you generate germinational energy, and new strategic secondary choices—choices that support a primary choice—become clear and apparent.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When relief becomes the driving force, people often take actions that are not in their own best interest.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;you try to change your behavior without first changing the underlying structure causing that behavior, you will not succeed.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Learn to form pictures of what you want. This may take practice. As you experiment with picture forming, you will be able to clarify what the result you want will be. Look at your result from many angles in your imagination. Try adding new elements. Try taking out elements. Look at the image from inside, outside, above, below, close, and distant. As you practice changing frames of reference, you will get to know more and more about what you want to create. Sometimes you will be surprised. Often you will not. But you will always learn more about your concept.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;You got to where you are in your life right now by moving along the path of least resistance.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;“All the great things are done for their own sake.”
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;When you think structurally, you ask better and more useful questions. Rather than asking, “How do I get this unwanted situation to go away?” you might ask, “What structures should I adopt to create the results I want to create?”
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;You do not know what you can accomplish. Is it “realistic” to give up before you start? Is it practical to lie to yourself? History is filled with examples of individuals creating results that were previously thought to be impossible.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;There is tremendous power in knowing what results you designate as primary. Once you make primary choices to create those results, you may effectively and naturally rearrange and reorganize your life in ways that help bring those primary choices into reality.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;There seems to be no relationship between the final worth of a result and the experiences the creator has while in the process of creating.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;The art of creating is often found in your ability to adjust or correct what you have done so far. Many people have been encouraged to “get it right the first time” or, even worse, to “be perfect.” This policy can lead to profound inexperience in the adjustment process. Instead of making the most of what you have done so far, in order to bring your creation into existence, you may be tempted to give up anytime the circumstances seem against you. Sometimes people encourage others to “stay with it” and develop “determination and fortitude” in reaction to habitual quitting. But this manipulation hardly ever works. Without an ever-increasing ability to adjust the actions you take, trying to “stay with it” can seem like banging your head against a wall. After sincere attempts to “stay with it” fail and fail again, the path of least resistance is to quit. You may have thought your habitual giving up was a serious character flaw. But this is probably not the case. It is not fortitude, willpower, or determination that enables you to continue the creative process, but learning as you go.
Path of Least Resistance, The - Kindle Book - Kindle eBook  ;Once a structure exists, energy moves through that structure by the path of least resistance. In other words, energy moves where it is easiest for it to go.
The Snowball (Schroeder, Alice);“When you invest, you have to take some risk. The future is always uncertain.
The Snowball (Schroeder, Alice);From an early age, each of the kids knew not to expect financial help from him except to pay for their education.
The Snowball (Schroeder, Alice);“Then at dinner, Bill Gates Sr. posed the question to the table: What factor did people feel was the most important in getting to where they’d gotten in life? And I said, ‘Focus,’ And Bill said the same thing.”
The Snowball (Schroeder, Alice);“The Superinvestors of Graham-and-Doddsville”
The Snowball (Schroeder, Alice);developed the habit of expecting little so as never to be disappointed
The Snowball (Schroeder, Alice);From Graham’s class, Warren took away three main principles: A stock is the right to own a little piece of a business. A stock is worth a certain fraction of what you would be willing to pay for the whole business. Use a margin of safety. Investing is built on estimates and uncertainty. A wide margin of safety ensures that the effects of good decisions are not wiped out by errors. The way to advance, above all, is by not retreating. Mr. Market is your servant, not your master. Graham postulated a moody character called Mr. Market, who offers to buy and sell stocks every day, often at prices that don’t make sense. Mr. Market’s moods should not influence your view of price. However, from time to time he does offer the chance to buy low and sell high. Of these points, the margin of safety was most important. A stock might be the right to own a piece of a business, and the intrinsic value of the stock was something you could estimate, but with a margin of safety, you could sleep at night.
